evt,LepGood1_charge,LepGood2_charge,LepGood1_convVeto,LepGood2_convVeto,LepGood1_lostHits,LepGood2_lostHits,LepGood1_mvaTTH,LepGood2_mvaTTH,LepGood1_pdgId,LepGood2_pdgId,LepGood1_pt,LepGood2_pt,LepGood1_tightCharge,LepGood2_tightCharge,met_pt,mhtJet25,minMllAFAS,nBJetLoose25,nBJetMedium25,nJet25,nLepGood10
163234,1,1,1,1,0,0,0.875502407551,0.899807333946,-11,-11,201.600326538,113.425132751,2,2,400.582763672,537.918029785,114.465896606,1,1,7,2
199835,1,1,1,1,0,0,0.833303272724,0.787431120872,-11,-11,24.6884727478,23.2803993225,2,2,45.606338501,59.8794937134,68.8156967163,2,0,6,2
59364,1,1,1,1,0,0,0.881481170654,0.919503629208,-11,-11,101.463577271,69.9193496704,2,2,52.856136322,87.596824646,63.5101089478,4,3,7,2
57198,1,1,1,1,0,0,0.856096982956,0.828627586365,-11,-11,145.879089355,105.340431213,2,2,106.202636719,155.259841919,26.9501743317,2,1,4,3
178879,1,1,1,1,0,0,0.91395419836,0.880240023136,-11,-11,103.252304077,56.1195411682,2,2,214.098129272,173.446029663,11.9083471298,2,1,4,2
53312,-1,-1,1,1,0,0,0.886552333832,0.970332324505,11,11,53.4270935059,49.4596557617,2,2,60.0272941589,90.4085388184,18.018404007,2,1,4,4
55734,-1,-1,1,1,0,0,0.96053647995,0.932065844536,11,11,54.8162956238,36.3821258545,2,2,16.9990577698,71.9942321777,78.0365447998,3,1,5,2
82785,-1,-1,1,1,0,0,0.963428735733,0.970797777176,11,11,114.289382935,34.2158203125,2,2,267.669342041,154.615707397,87.6384735107,3,2,5,2
127544,1,1,1,1,0,0,0.80111604929,0.701371192932,-11,-11,70.2349700928,42.7132606506,2,2,34.7444915771,66.0361404419,106.388694763,3,3,7,2
29955,1,1,1,1,0,0,0.932108640671,0.915710031986,-11,-11,37.4003067017,22.2614994049,2,2,31.1449584961,32.3768730164,57.2105560303,1,1,7,2
20996,1,1,1,1,0,0,0.932713627815,0.970140993595,-11,-11,103.987922668,97.0708694458,2,2,150.141235352,141.556304932,216.282546997,4,3,6,2
197977,-1,-1,1,1,0,0,0.94109994173,0.9637991786,11,11,267.664154053,28.8464260101,2,2,197.051803589,188.030654907,152.824371338,2,2,5,2
56556,-1,-1,1,1,0,0,0.865641176701,0.962064445019,11,11,92.401763916,47.8946762085,2,2,59.9712409973,68.1307830811,160.458679199,3,0,6,2
178228,1,1,1,1,0,0,0.909760534763,0.884751915932,-11,-11,51.1162071228,43.573135376,2,2,86.6262741089,229.213470459,88.7467498779,4,2,7,2
163464,-1,-1,1,1,0,0,0.960738778114,0.930239975452,11,11,58.9137077332,52.1175613403,2,2,152.721694946,157.916320801,38.9264984131,3,0,9,3
175511,1,1,1,1,0,0,0.706754744053,0.733701825142,-11,-11,44.296875,35.4378967285,2,2,57.2961463928,78.6075363159,78.4895935059,2,0,6,2
15034,1,1,1,1,0,0,0.964719116688,0.854164004326,-11,-11,77.5398025513,32.9374847412,2,2,114.636909485,53.9203414917,82.9859237671,1,1,4,2
68324,1,1,1,1,0,0,0.97432911396,0.953972637653,-11,-11,46.1666793823,33.2696647644,2,2,133.046691895,106.121925354,62.2125740051,2,2,7,2
164057,-1,-1,1,1,0,0,0.799224257469,0.944067597389,11,11,44.5529556274,28.5783996582,2,2,94.3361282349,136.060272217,88.3792037964,2,2,8,2
107514,-1,-1,1,1,0,0,0.786247968674,0.957166433334,11,11,33.1344642639,29.3482398987,2,2,140.14201355,104.058166504,17.23072052,3,3,6,3
107532,-1,-1,1,1,0,0,0.926371455193,0.962075054646,11,11,304.777618408,45.0069465637,2,2,65.6660690308,295.517578125,243.983016968,2,1,4,2
150199,-1,-1,1,1,0,0,0.957691848278,0.758178293705,11,11,78.2712936401,20.3823413849,2,2,73.7745056152,133.737686157,53.5899772644,2,1,4,2
168725,-1,-1,1,1,0,0,0.95570486784,0.751572906971,11,11,88.3897323608,27.8123493195,2,2,161.860931396,169.897674561,57.2105178833,4,1,7,2
